tournament_id,year,doubles,prize_money,surface,sex
Rimini Challenger Men - 2010,2010,False,"$42,500",clay,men
Rimini Challenger Men - 2009,2009,False,"$60,000",clay,men
Roma 3 Challenger Men - 2010,2010,False,"€30,000",clay,men
Rome 2 Challenger Men - 2017,2017,False,"€43,000",clay,men
Rome 2 Challenger Men - 2016,2016,False,"€42,500",clay,men
Rome 2 Challenger Men - 2015,2015,False,"€42,500",clay,men
Rome 2 Challenger Men - 2013,2013,False,"€30,000",clay,men
Rome 2 Challenger Men - 2012,2012,False,"€30,000",clay,men
Rome 2 Challenger Men - 2011,2011,False,"€30,000",clay,men
Rome 2 Challenger Men - 2010,2010,False,"€30,000",clay,men
Rome 2 Challenger Men - 2009,2009,False,"$40,000",clay,men
Rome Challenger Men - 2019,2019,False,"€46,600",clay,men
Rome Challenger Men - 2018,2018,False,"€64,000",clay,men
Rome Challenger Men - 2017,2017,False,"€64,000",clay,men
Rome Challenger Men - 2016,2016,False,"€42,500",clay,men
Rome Challenger Men - 2015,2015,False,"€42,500",clay,men
Rome Challenger Men - 2014,2014,False,"€42,500",clay,men
Rome Challenger Men - 2013,2013,False,"€30,000",clay,men
Rome Challenger Men - 2012,2012,False,"€30,000",clay,men
Rome Challenger Men - 2011,2011,False,"€30,000",clay,men
Rome Challenger Men - 2010,2010,False,"€300,000",clay,men
Rome Challenger Men - 2009,2009,False,"$40,000",clay,men
tournament_id,year,doubles,prize_money,surface,sex
San Benedetto Challenger Men - 2018,2018,False,"€64,000",clay,men
San Benedetto Challenger Men - 2017,2017,False,"€64,000",clay,men
San Benedetto Challenger Men - 2016,2016,False,"€42,500",clay,men
San Benedetto Challenger Men - 2015,2015,False,"€64,000",clay,men
San Benedetto Challenger Men - 2014,2014,False,"€35,000",clay,men
San Benedetto Challenger Men - 2013,2013,False,"€30,000",clay,men
San Benedetto Challenger Men - 2012,2012,False,"€30,000",clay,men
San Benedetto Challenger Men - 2011,2011,False,"€30,000",clay,men
San Benedetto Challenger Men - 2010,2010,False,"€30,000",clay,men
San Benedetto Challenger Men - 2009,2009,False,"$42,000",clay,men
San Remo Challenger Men - 2010,2010,False,"€30,000",clay,men
San Remo Challenger Men - 2009,2009,False,"$45,000",clay,men
Todi Challenger Men - 2017,2017,False,"€43,000",clay,men
Todi Challenger Men - 2016,2016,False,"€42,500",clay,men
Todi Challenger Men - 2015,2015,False,"€42,500",clay,men
Todi Challenger Men - 2014,2014,False,"€35,000",clay,men
Todi Challenger Men - 2013,2013,False,"€30,000",clay,men
Todi Challenger Men - 2012,2012,False,"€30,000",clay,men
Todi Challenger Men - 2011,2011,False,"€30,000",clay,men
Todi Challenger Men - 2010,2010,False,"€30,000",clay,men
Todi Challenger Men - 2009,2009,False,"€42,500",clay,men
Torino Challenger Men - 2016,2016,False,"€42,500",clay,men
Torino Challenger Men - 2015,2015,False,"€42,500",clay,men
Torino Challenger Men - 2011,2011,False,"€85,000",clay,men
Torino Challenger Men - 2010,2010,False,"€85,000",clay,men
Torino Challenger Men - 2009,2009,False,"$120,000",clay,men
Trani Challenger Men - 2011,2011,False,"€30,000",clay,men
Trani Challenger Men - 2010,2010,False,"€30,000",clay,men
Trani Challenger Men - 2009,2009,False,"€42,500",clay,men
San Benedetto Challenger Men - 2018,2018,False,"€64,000",clay,men
San Benedetto Challenger Men - 2017,2017,False,"€64,000",clay,men
San Benedetto Challenger Men - 2016,2016,False,"€42,500",clay,men
San Benedetto Challenger Men - 2015,2015,False,"€64,000",clay,men
San Benedetto Challenger Men - 2014,2014,False,"€35,000",clay,men
San Benedetto Challenger Men - 2013,2013,False,"€30,000",clay,men
San Benedetto Challenger Men - 2012,2012,False,"€30,000",clay,men
San Benedetto Challenger Men - 2011,2011,False,"€30,000",clay,men
San Benedetto Challenger Men - 2010,2010,False,"€30,000",clay,men
San Benedetto Challenger Men - 2009,2009,False,"$42,000",clay,men
San Remo Challenger Men - 2010,2010,False,"€30,000",clay,men
San Remo Challenger Men - 2009,2009,False,"$45,000",clay,men
Todi Challenger Men - 2017,2017,False,"€43,000",clay,men
Todi Challenger Men - 2016,2016,False,"€42,500",clay,men
Todi Challenger Men - 2015,2015,False,"€42,500",clay,men
Todi Challenger Men - 2014,2014,False,"€35,000",clay,men
Todi Challenger Men - 2013,2013,False,"€30,000",clay,men
Todi Challenger Men - 2012,2012,False,"€30,000",clay,men
Todi Challenger Men - 2011,2011,False,"€30,000",clay,men
Todi Challenger Men - 2010,2010,False,"€30,000",clay,men
Todi Challenger Men - 2009,2009,False,"€42,500",clay,men
Torino Challenger Men - 2016,2016,False,"€42,500",clay,men
Torino Challenger Men - 2015,2015,False,"€42,500",clay,men
Torino Challenger Men - 2011,2011,False,"€85,000",clay,men
Torino Challenger Men - 2010,2010,False,"€85,000",clay,men
Torino Challenger Men - 2009,2009,False,"$120,000",clay,men
Trani Challenger Men - 2011,2011,False,"€30,000",clay,men
Trani Challenger Men - 2010,2010,False,"€30,000",clay,men
Trani Challenger Men - 2009,2009,False,"€42,500",clay,men
tournament_id,year,doubles,prize_money,surface,sex
Vercelli Challenger Men - 2015,2015,False,"$42,500",clay,men
Vercelli Challenger Men - 2014,2014,False,"$42,500",clay,men
