tournament_id,year,doubles,prize_money,surface,sex
ITF Iowa City Men - 2018,2018,False,"$25,000",hard,men
ITF Irvine Men - 2016,2016,False,"$10,000",hard,men
ITF Irvine Men - 2014,2014,False,"$10,000",hard,men
ITF Irvine Men - 2012,2012,False,"$10,000",hard,men
ITF Joplin Men - 2013,2013,False,"$10,000",hard,men
ITF Joplin Men - 2012,2012,False,"$10,000",hard,men
ITF Laguna Niguel Men - 2018,2018,False,"$15,000",hard,men
ITF Laguna Niguel Men - 2017,2017,False,"$15,000",hard,men
ITF Laguna Niguel Men - 2015,2015,False,"$10,000",hard,men
ITF Laguna Niguel Men - 2013,2013,False,"$10,000",hard,men
ITF Laguna Niguel Men - 2011,2011,False,"$10,000",hard,men
ITF Little Rock Men - 2018,2018,False,"$25,000",hard,men
ITF Little Rock Men - 2017,2017,False,"$25,000",hard,men
ITF Little Rock Men - 2016,2016,False,"$25,000",hard,men
ITF Little Rock Men - 2015,2015,False,"$15,000",hard,men
ITF Little Rock Men - 2014,2014,False,"$15,000",hard,men
ITF Little Rock Men - 2013,2013,False,"$15,000",hard,men
ITF Little Rock Men - 2012,2012,False,"$15,000",hard,men
ITF Long Beach Men - 2018,2018,False,"$25,000",hard,men
ITF Long Beach Men - 2017,2017,False,"$25,000",hard,men
ITF Long Beach Men - 2016,2016,False,"$25,000",hard,men
ITF Long Beach Men - 2015,2015,False,"$15,000",hard,men
ITF Los Angeles Men - 2019,2019,False,"$25,000",hard,men
ITF Los Angeles Men - 2018,2018,False,"$25,000",hard,men
ITF Los Angeles Men - 2017,2017,False,"$25,000",hard,men
ITF Los Angeles Men - 2016,2016,False,"$25,000",hard,men
ITF Los Angeles Men - 2015,2015,False,"$15,000",hard,men
ITF Mansfield Men - 2015,2015,False,"$15,000",hard,men
ITF Mansfield Men - 2014,2014,False,"$15,000",hard,men
ITF Mansfield Men - 2013,2013,False,"$15,000",hard,men
ITF Mansfield Men - 2012,2012,False,"$15,000",hard,men
ITF Mansfield Men - 2011,2011,False,"$15,000",hard,men
ITF Memphis Men - 2018,2018,False,"$25,000",hard,men
ITF Memphis Men - 2017,2017,False,"$25,000",hard,men
ITF Memphis Men - 2016,2016,False,"$25,000",hard,men
ITF Naples Men - 2019,2019,False,"$15,000",clay,men
ITF Naples Men - 2018,2018,False,"$15,000",clay,men
ITF Niceville Men - 2018,2018,False,"$15,000",clay,men
ITF Niceville Men - 2017,2017,False,"$15,000",clay,men
ITF Niceville Men - 2016,2016,False,"$10,000",clay,men
ITF Niceville Men - 2015,2015,False,"$10,000",clay,men
ITF Niceville Men - 2014,2014,False,"$10,000",clay,men
ITF Niceville Men - 2013,2013,False,"$10,000",clay,men
ITF Niceville Men - 2012,2012,False,"$10,000",clay,men
ITF Niceville Men - 2011,2011,False,"$10,000",clay,men
ITF Norman Men - 2019,2019,False,"$15,000",hard,men
ITF Norman Men - 2018,2018,False,"$25,000",hard,men
ITF Oklahoma City Men - 2014,2014,False,"$15,000",hard,men
ITF Oklahoma City Men - 2013,2013,False,"$15,000",hard,men
ITF Oklahoma City Men - 2012,2012,False,"$15,000",hard,men
ITF Orange Park Men - 2019,2019,False,"$15,000",clay,men
ITF Orange Park Men - 2018,2018,False,"$15,000",clay,men
ITF Orange Park Men - 2017,2017,False,"$15,000",clay,men
ITF Orange Park Men - 2016,2016,False,"$10,000",clay,men
ITF Orange Park Men - 2015,2015,False,"$10,000",clay,men
ITF Orange Park Men - 2014,2014,False,"$10,000",clay,men
ITF Orange Park Men - 2013,2013,False,"$10,000",clay,men
ITF Orange Park Men - 2012,2012,False,"$10,000",clay,men
ITF Orlando 2 Men - 2017,2017,False,"$15,000",clay,men
ITF Orlando Men - 2019,2019,False,"$15,000",clay,men
ITF Orlando Men - 2017,2017,False,"$15,000",clay,men
ITF Palm Coast Men - 2019,2019,False,"$25,000",clay,men
ITF Palm Coast Men - 2018,2018,False,"$15,000",clay,men
ITF Palm Coast Men - 2017,2017,False,"$15,000",clay,men
ITF Palm Coast Men - 2016,2016,False,"$10,000",clay,men
ITF Palm Coast Men - 2015,2015,False,"$10,000",clay,men
ITF Palm Coast Men - 2014,2014,False,"$10,000",clay,men
ITF Palm Coast Men - 2013,2013,False,"$10,000",clay,men
ITF Palm Coast Men - 2012,2012,False,"$10,000",clay,men
ITF Pensacola Men - 2019,2019,False,"$25,000",clay,men
ITF Pensacola Men - 2018,2018,False,"$15,000",clay,men
ITF Pensacola Men - 2017,2017,False,"$15,000",clay,men
ITF Pensacola Men - 2016,2016,False,"$10,000",clay,men
ITF Pensacola Men - 2015,2015,False,"$10,000",clay,men
ITF Pensacola Men - 2014,2014,False,"$10,000",clay,men
ITF Pensacola Men - 2013,2013,False,"$10,000",clay,men
ITF Pensacola Men - 2012,2012,False,"$10,000",clay,men
ITF Pittsburgh Men - 2019,2019,False,"$15,000",clay,men
ITF Pittsburgh Men - 2018,2018,False,"$15,000",clay,men
ITF Pittsburgh Men - 2017,2017,False,"$15,000",clay,men
ITF Pittsburgh Men - 2016,2016,False,"$10,000",clay,men
ITF Pittsburgh Men - 2015,2015,False,"$10,000",clay,men
ITF Pittsburgh Men - 2014,2014,False,"$10,000",clay,men
ITF Pittsburgh Men - 2013,2013,False,"$10,000",clay,men
ITF Pittsburgh Men - 2012,2012,False,"$10,000",clay,men
ITF Plantation 2 Men - 2016,2016,False,"$10,000",clay,men
ITF Plantation 2 Men - 2015,2015,False,"$10,000",clay,men
ITF Plantation 3 Men - 2016,2016,False,"$10,000",clay,men
ITF Plantation Men - 2017,2017,False,"$15,000",clay,men
ITF Plantation Men - 2016,2016,False,"$10,000",clay,men
ITF Plantation Men - 2015,2015,False,"$10,000",clay,men
ITF Plantation Men - 2014,2014,False,"$10,000",clay,men
ITF Plantation Men - 2013,2013,False,"$10,000",clay,men
ITF Plantation Men - 2012,2012,False,"$10,000",clay,men
ITF Rochester Men - 2019,2019,False,"$15,000",clay,men
ITF Rochester Men - 2018,2018,False,"$15,000",clay,men
ITF Rochester Men - 2017,2017,False,"$15,000",clay,men
ITF Rochester Men - 2016,2016,False,"$10,000",clay,men
ITF Rochester Men - 2015,2015,False,"$10,000",clay,men
ITF Rochester Men - 2014,2014,False,"$10,000",clay,men
ITF Rochester Men - 2012,2012,False,"$10,000",clay,men
ITF Sacramento Men - 2012,2012,False,"$15,000",hard,men
ITF Sunrise 2 Men - 2015,2015,False,"$10,000",clay,men
ITF Sunrise 2 Men - 2014,2014,False,"$10,000",clay,men
ITF Sunrise 3 Men - 2015,2015,False,"$10,000",clay,men
ITF Sunrise 3 Men - 2014,2014,False,"$10,000",clay,men
ITF Sunrise Men - 2019,2019,False,"$15,000",clay,men
ITF Sunrise Men - 2018,2018,False,"$15,000",clay,men
ITF Sunrise Men - 2017,2017,False,"$15,000",clay,men
ITF Sunrise Men - 2016,2016,False,"$10,000",clay,men
ITF Sunrise Men - 2015,2015,False,"$10,000",clay,men
ITF Sunrise Men - 2014,2014,False,"$10,000",clay,men
ITF Sunrise Men - 2013,2013,False,"$10,000",clay,men
ITF Sunrise Men - 2012,2012,False,"$10,000",clay,men
ITF Tallahassee Men - 2018,2018,False,"$25,000",hard,men
ITF Tallahassee Men - 2017,2017,False,"$25,000",hard,men
ITF Tallahassee Men - 2016,2016,False,"$25,000",hard,men
ITF Tallahassee Men - 2015,2015,False,"$15,000",hard,men
ITF Tampa Men - 2017,2017,False,"$15,000",clay,men
ITF Tampa Men - 2016,2016,False,"$10,000",clay,men
