tournament_id,year,doubles,prize_money,surface,sex
ITF Antalya Men - 2012,2012,False,"$10,000",hard,men
ITF Antalya-Ali Bey Manavgat Men - 2013,2013,False,"$10,000",clay,men
ITF Antalya-Belconti 12 Men - 2012,2012,False,"$10,000",hard,men
ITF Antalya-Belconti 13 Men - 2012,2012,False,"$10,000",hard,men
ITF Antalya-Belconti 14 Men - 2012,2012,False,"$10,000",hard,men
ITF Antalya-Belconti 2 Men - 2013,2013,False,"$10,000",hard,men
ITF Antalya-Belconti 2 Men - 2012,2012,False,"$10,000",hard,men
ITF Antalya-Belconti 3 Men - 2013,2013,False,"$10,000",hard,men
ITF Antalya-Belconti 3 Men - 2012,2012,False,"$10,000",hard,men
ITF Antalya-Belconti 4 Men - 2013,2013,False,"$10,000",hard,men
ITF Antalya-Belconti 6 Men - 2013,2013,False,"$10,000",hard,men
ITF Antalya-Belconti Men - 2013,2013,False,"$10,000",hard,men
ITF Antalya-Belconti Men - 2012,2012,False,"$10,000",hard,men
ITF Istanbul Men - 2012,2012,False,"$10,000",hard,men
ITF Izmir 2 Men - 2011,2011,False,"$10,000",clay,men
ITF Izmir 3 Men - 2011,2011,False,"$10,000",clay,men
ITF Izmir Men - 2011,2011,False,"$10,000",clay,men
ITF Mersin 2 Men - 2012,2012,False,"$10,000",clay,men
ITF Mersin 3 Men - 2012,2012,False,"$10,000",clay,men
ITF Mersin Men - 2012,2012,False,"$10,000",clay,men
ITF Tekirdag Men - 2012,2012,False,"$10,000",hard,men
Istanbul 2 Challenger Men - 2013,2013,False,"$75,000",hard,men
Istanbul Challenger Men - 2018,2018,False,"$75,000",hard,men
Istanbul Challenger Men - 2017,2017,False,"$75,000",hard,men
Istanbul Challenger Men - 2016,2016,False,"$75,000",hard,men
Istanbul Challenger Men - 2015,2015,False,"$75,000",hard,men
Istanbul Challenger Men - 2014,2014,False,"$75,000",hard,men
Istanbul Challenger Men - 2013,2013,False,"$42,500",hard,men
Istanbul Challenger Men - 2012,2012,False,"$75,000",hard,men
Istanbul Challenger Men - 2011,2011,False,"$100,000",hard,men
Istanbul Challenger Men - 2010,2010,False,"$100,000",hard,men
Istanbul Challenger Men - 2009,2009,False,"$50,000",hard,men
Izmir Challenger Men - 2017,2017,False,"€64,000",hard,men
Izmir Challenger Men - 2016,2016,False,"€64,000",hard,men
Izmir Challenger Men - 2015,2015,False,"€106,500",hard,men
Izmir Challenger Men - 2014,2014,False,"€106,500",hard,men
Izmir Challenger Men - 2013,2013,False,"€64,000",hard,men
Izmir Challenger Men - 2012,2012,False,"€64,000",hard,men
Izmir Challenger Men - 2011,2011,False,"€64,000",hard,men
Izmir Challenger Men - 2010,2010,False,"€64,000",hard,men
Izmir Challenger Men - 2009,2009,False,"€64,000",hard,men
tournament_id,year,doubles,prize_money,surface,sex
Mersin Challenger Men - 2015,2015,False,"€42,500",clay,men
Mersin Challenger Men - 2014,2014,False,"€64,000",clay,men
Mersin Challenger Men - 2013,2013,False,"€42,500",clay,men
Mersin Challenger Men - 2012,2012,False,"€42,500",clay,men
ATP Atlanta - 2018,2018,False,"$668,460",hard,men
ATP Atlanta - 2017,2017,False,"$642,750",hard,men
ATP Atlanta - 2016,2016,False,"$693,425",hard,men
ATP Atlanta - 2015,2015,False,"$659,070",hard,men
ATP Atlanta - 2014,2014,False,"$623,730",hard,men
ATP Atlanta - 2013,2013,False,"$623,730",hard,men
ATP Atlanta - 2012,2012,False,"$546,900",hard,men
ATP Atlanta - 2011,2011,False,"$600,000",hard,men
ATP Atlanta - 2010,2010,False,"$600,000",hard,men
ATP Cincinnati - 2018,2018,False,"$6,335,970",hard,men
ATP Cincinnati - 2017,2017,False,"$5,627,305",hard,men
ATP Cincinnati - 2016,2016,False,"$5,004,505",hard,men
ATP Cincinnati - 2015,2015,False,"$4,457,065",hard,men
ATP Cincinnati - 2014,2014,False,"$4,017,355",hard,men
ATP Cincinnati - 2013,2013,False,"$3,729,155",hard,men
ATP Cincinnati - 2012,2012,False,"$3,433,280",hard,men
ATP Cincinnati - 2011,2011,False,"$3,200,000",hard,men
ATP Cincinnati - 2010,2010,False,"$3,000,000",hard,men
ATP Cincinnati - 2009,2009,False,"$3,000,000",hard,men
ATP Delray Beach - 2019,2019,False,"$582,550",hard,men
ATP Delray Beach - 2018,2018,False,"$556,010",hard,men
ATP Delray Beach - 2017,2017,False,"$534,625",hard,men
ATP Delray Beach - 2016,2016,False,"$576,900",hard,men
ATP Delray Beach - 2015,2015,False,"$549,230",hard,men
ATP Delray Beach - 2014,2014,False,"$539,730",hard,men
ATP Delray Beach - 2013,2013,False,"$519,775",hard,men
ATP Delray Beach - 2012,2012,False,"$500,000",hard,men
ATP Delray Beach - 2011,2011,False,"$442,500",hard,men
ATP Delray Beach - 2010,2010,False,"$500,000",hard,men
ATP Delray Beach - 2009,2009,False,"$500,000",hard,men
