tournament_id,year,doubles,prize_money,surface,sex
ITF Vall D'uxo Men - 2016,2016,False,"$10,000",clay,men
ITF Valldoreix Men - 2019,2019,False,"$15,000",clay,men
ITF Valldoreix Men - 2018,2018,False,"$15,000",clay,men
ITF Valldoreix Men - 2017,2017,False,"$15,000",clay,men
ITF Valldoreix Men - 2016,2016,False,"$10,000",clay,men
ITF Valldoreix Men - 2015,2015,False,"$10,000",clay,men
ITF Valldoreix Men - 2014,2014,False,"$10,000",clay,men
ITF Valldoreix Men - 2012,2012,False,"$10,000",clay,men
ITF Vic Men - 2019,2019,False,"$25,000",clay,men
ITF Vic Men - 2018,2018,False,"$15,000",clay,men
ITF Vic Men - 2017,2017,False,"$15,000",clay,men
ITF Vic Men - 2016,2016,False,"$10,000",clay,men
ITF Vic Men - 2015,2015,False,"$10,000",clay,men
ITF Vic Men - 2014,2014,False,"$10,000",clay,men
ITF Vic Men - 2012,2012,False,"$10,000",clay,men
ITF Vigo Men - 2018,2018,False,"$15,000",clay,men
ITF Vigo Men - 2017,2017,False,"$15,000",clay,men
ITF Vigo Men - 2016,2016,False,"$10,000",clay,men
ITF Vigo Men - 2015,2015,False,"$10,000",clay,men
ITF Vigo Men - 2014,2014,False,"$10,000",clay,men
ITF Vigo Men - 2013,2013,False,"$10,000",clay,men
ITF Vigo Men - 2012,2012,False,"$10,000",clay,men
ITF Vilafranca Men - 2011,2011,False,"$10,000",clay,men
ITF Villajoyosa 2 Men - 2013,2013,False,"$10,000",hard,men
ITF Villajoyosa 3 Men - 2013,2013,False,"$10,000",hard,men
ITF Villajoyosa Men - 2013,2013,False,"$10,000",hard,men
ITF Xabia Men - 2018,2018,False,"$25,000",clay,men
ITF Xativa Men - 2018,2018,False,"$15,000",clay,men
ITF Xativa Men - 2017,2017,False,"$25,000",clay,men
ITF Xativa Men - 2016,2016,False,"$10,000",clay,men
ITF Xativa Men - 2015,2015,False,"$10,000",clay,men
ITF Xativa Men - 2014,2014,False,"$10,000",clay,men
ITF Xativa Men - 2013,2013,False,"$10,000",clay,men
ITF Xativa Men - 2012,2012,False,"$10,000",clay,men
Madrid Challenger Men - 2012,2012,False,"€42,500",clay,men
Madrid Challenger Men - 2011,2011,False,"€42,500",clay,men
Mallorca Challenger Men - 2018,2018,False,"$43,000",hard,men
tournament_id,year,doubles,prize_money,surface,sex
Marbella Challenger Men - 2019,2019,False,"€46,600",clay,men
Marbella Challenger Men - 2018,2018,False,"€43,000",clay,men
Marbella Challenger Men - 2012,2012,False,"€30,000",clay,men
Murcia Challenger Men - 2019,2019,False,"€46,600",clay,men
Marbella Challenger Men - 2019,2019,False,"€46,600",clay,men
Marbella Challenger Men - 2018,2018,False,"€43,000",clay,men
Marbella Challenger Men - 2012,2012,False,"€30,000",clay,men
Murcia Challenger Men - 2019,2019,False,"€46,600",clay,men
Pozoblanco Challenger Men - 2012,2012,False,"€42,500",hard,men
Pozoblanco Challenger Men - 2011,2011,False,"€85,000",hard,men
Pozoblanco Challenger Men - 2010,2010,False,"€85,000",hard,men
Pozoblanco Challenger Men - 2009,2009,False,"€85,000",hard,men
San Sebastian Challenger Men - 2011,2011,False,"€30,000",clay,men
San Sebastian Challenger Men - 2010,2010,False,"€30,000",clay,men
San Sebastian Challenger Men - 2009,2009,False,"€30,000",clay,men
Segovia Challenger Men - 2018,2018,False,"€85,000",hard,men
Segovia Challenger Men - 2017,2017,False,"€85,000",hard,men
Segovia Challenger Men - 2016,2016,False,"€64,000",hard,men
Segovia Challenger Men - 2015,2015,False,"€42,500",hard,men
Segovia Challenger Men - 2014,2014,False,"€42,500",hard,men
Segovia Challenger Men - 2013,2013,False,"€42,500",hard,men
Segovia Challenger Men - 2012,2012,False,"€42,500",hard,men
Segovia Challenger Men - 2011,2011,False,"€85,000",hard,men
Segovia Challenger Men - 2010,2010,False,$0,hard,men
Segovia Challenger Men - 2009,2009,False,"€106,500",hard,men
Seville Challenger Men - 2018,2018,False,"€64,000",clay,men
Seville Challenger Men - 2017,2017,False,"€64,000",clay,men
Seville Challenger Men - 2016,2016,False,"€42,500",clay,men
Seville Challenger Men - 2015,2015,False,"€42,500",clay,men
Seville Challenger Men - 2014,2014,False,"€42,500",clay,men
Seville Challenger Men - 2013,2013,False,"€42,500",clay,men
Seville Challenger Men - 2012,2012,False,"€42,500",clay,men
Seville Challenger Men - 2011,2011,False,"€42,500",clay,men
Seville Challenger Men - 2010,2010,False,"€42,500",clay,men
Seville Challenger Men - 2009,2009,False,"€42,500",clay,men
Tarragona Challenger Men - 2010,2010,False,"€30,000",clay,men
Tarragona Challenger Men - 2009,2009,False,"€42,500",clay,men
Tenerife Challenger Men - 2009,2009,False,"€30,000",hard,men
Vigo Challenger Men - 2009,2009,False,"€30,000",clay,men
tournament_id,year,doubles,prize_money,surface,sex
ATP Bastad - 2018,2018,False,"€501,345",clay,men
ATP Bastad - 2017,2017,False,"€482,060",clay,men
ATP Bastad - 2016,2016,False,"€520,070",clay,men
ATP Bastad - 2015,2015,False,"€494,310",clay,men
ATP Bastad - 2014,2014,False,"€485,760",clay,men
ATP Bastad - 2013,2013,False,"€491,370",clay,men
ATP Bastad - 2012,2012,False,"€410,175",clay,men
ATP Bastad - 2011,2011,False,"€450,000",clay,men
ATP Bastad - 2010,2010,False,"€450,000",clay,men
ATP Bastad - 2009,2009,False,"€450,000",clay,men
