""
""
""
0,
1,
""
""
,year,doubles,prize_money,surface,sex
ITF Neuquen 2 Men - 2011,2011,False,"$10,000",clay,men
ITF Neuquen 3 Men - 2012,2012,False,"$10,000",clay,men
ITF Neuquen 4 Men - 2012,2012,False,"$10,000",clay,men
ITF Posadas Men - 2012,2012,False,"$10,000",clay,men
ITF Resistencia Men - 2012,2012,False,"$10,000",clay,men
ITF Rio Cuarto Men - 2012,2012,False,"$10,000",clay,men
ITF Rosario 2 Men - 2012,2012,False,"$10,000",clay,men
ITF Rosario Men - 2012,2012,False,"$10,000",clay,men
ITF Santiago del Estero Men - 2012,2012,False,"$10,000",clay,men
ITF Villa Del Dique Men - 2013,2013,False,"$10,000",clay,men
ITF Villa Del Dique Men - 2012,2012,False,"$10,000",clay,men
Mendoza Challenger Men - 2016,2016,False,"$50,000",clay,men
San Juan Challenger Men - 2014,2014,False,"$40,000",clay,men
San Juan Challenger Men - 2013,2013,False,"$35,000",clay,men
San Juan Challenger Men - 2012,2012,False,"$35,000",clay,men
Villa Allende Challenger Men - 2012,2012,False,"$50,000",clay,men
Exhibition IPTL Men - 2016,2016,False,$0,hard,men
Exhibition IPTL Men - 2015,2015,False,$0,hard,men
Exhibition IPTL Men - 2014,2014,False,$0,hard,men
tournament_id,year,doubles,prize_money,surface,sex
ITF De Haan Men - 2012,2012,False,"$10,000",clay,men
ITF Eupen Men - 2012,2012,False,"$10,000",clay,men
ITF Koksijde Men - 2011,2011,False,"$10,000",clay,men
ITF Oostende Men - 2012,2012,False,"$10,000",clay,men
ITF Westende Men - 2012,2012,False,"$10,000",hard,men
Mons Challenger Men - 2016,2016,False,"€106,500",hard,men
Mons Challenger Men - 2015,2015,False,"€106,500",hard,men
Mons Challenger Men - 2014,2014,False,"€106,500",hard,men
Mons Challenger Men - 2013,2013,False,"€106,500",hard,men
Mons Challenger Men - 2012,2012,False,"€106,500",hard,men
Mons Challenger Men - 2011,2011,False,"€106,500",hard,men
Mons Challenger Men - 2010,2010,False,"$106,500",hard,men
Mons Challenger Men - 2009,2009,False,"€106,500",hard,men
ITF Cochabamba Men - 2011,2011,False,"$10,000",clay,men
ITF La Paz Men - 2012,2012,False,"$10,000",clay,men
ITF Sucre Men - 2011,2011,False,"$10,000",clay,men
Banja Luka Challenger Men - 2018,2018,False,"€85,000",clay,men
Banja Luka Challenger Men - 2017,2017,False,"€43,000",clay,men
Banja Luka Challenger Men - 2016,2016,False,"€64,000",clay,men
Banja Luka Challenger Men - 2015,2015,False,"€64,000",clay,men
Banja Luka Challenger Men - 2014,2014,False,"€64,000",clay,men
Banja Luka Challenger Men - 2013,2013,False,"€64,000",clay,men
Banja Luka Challenger Men - 2012,2012,False,"€64,000",clay,men
Banja Luka Challenger Men - 2011,2011,False,"€64,000",clay,men
Banja Luka Challenger Men - 2010,2010,False,"€64,000",clay,men
Banja Luka Challenger Men - 2009,2009,False,"$30,000",clay,men
Sarajevo Challenger Men - 2013,2013,False,"€30,000",hard,men
Sarajevo Challenger Men - 2012,2012,False,"€30,000",hard,men
Sarajevo Challenger Men - 2011,2011,False,"€30,000",hard,men
Sarajevo Challenger Men - 2010,2010,False,"€30,000",hard,men
Sarajevo Challenger Men - 2009,2009,False,"$40,000",hard,men
ATP Challenger Tour Finals Challenger Men - 2015,2015,False,"$220,000",clay,men
ATP Challenger Tour Finals Challenger Men - 2014,2014,False,"$220,000",clay,men
ATP Challenger Tour Finals Challenger Men - 2013,2013,False,"$220,000",clay,men
ATP Challenger Tour Finals Challenger Men - 2012,2012,False,"$220,000",clay,men
ATP Challenger Tour Finals Challenger Men - 2011,2011,False,$0,clay,men
ATP Costa Do Sauipe - 2011,2011,False,"$527,700",clay,men
ATP Costa Do Sauipe - 2010,2010,False,"$500,000",clay,men
ATP Costa Do Sauipe - 2009,2009,False,"$562,000",clay,men
ATP Rio de Janeiro - 2019,2019,False,"$1,786,690",clay,men
ATP Rio de Janeiro - 2018,2018,False,"$1,695,825",clay,men
ATP Rio de Janeiro - 2017,2017,False,"$1,461,560",clay,men
ATP Rio de Janeiro - 2016,2016,False,"$1,471,315",clay,men
ATP Rio de Janeiro - 2015,2015,False,"$1,548,755",clay,men
ATP Rio de Janeiro - 2014,2014,False,"$1,454,365",clay,men
ATP Sao Paulo - 2019,2019,False,"$550,145",clay,men
ATP Sao Paulo - 2018,2018,False,"$516,205",clay,men
ATP Sao Paulo - 2017,2017,False,"$455,565",clay,men
ATP Sao Paulo - 2016,2016,False,"$499,055",clay,men
ATP Sao Paulo - 2015,2015,False,"$505,655",clay,men
ATP Sao Paulo - 2014,2014,False,"$539,730",clay,men
ATP Sao Paulo - 2013,2013,False,"$519,775",clay,men
ATP Sao Paulo - 2012,2012,False,"$532,800",clay,men
Belem Challenger Men - 2012,2012,False,"$35,000",hard,men
Belo Horizonte Challenger Men - 2011,2011,False,"$50,000",clay,men
Belo Horizonte Challenger Men - 2010,2010,False,"$35,000",clay,men
Belo Horizonte Challenger Men - 2009,2009,False,"$35,000",clay,men
Blumenau Challenger Men - 2012,2012,False,"$35,000",clay,men
Blumenau Challenger Men - 2011,2011,False,"$35,000",clay,men
Blumenau Challenger Men - 2010,2010,False,"$35,000",clay,men
Blumenau Challenger Men - 2009,2009,False,"$35,000",clay,men
Brasilia Challenger Men - 2010,2010,False,"$35,000",hard,men
Brasilia Challenger Men - 2009,2009,False,"$35,000",hard,men
Campinas Challenger Men - 2018,2018,False,"$50,000",clay,men
Campinas Challenger Men - 2017,2017,False,"$50,000",clay,men
Campinas Challenger Men - 2016,2016,False,"$40,000",clay,men
Campinas Challenger Men - 2015,2015,False,"$40,000",clay,men
Campinas Challenger Men - 2014,2014,False,"$40,000",clay,men
Campinas Challenger Men - 2013,2013,False,"$35,000",clay,men
Campinas Challenger Men - 2012,2012,False,"$50,000",clay,men
Campinas Challenger Men - 2011,2011,False,"$35,000",clay,men
Campos Do Jordao Challenger Men - 2011,2011,False,"$50,000",hard,men
Campos Do Jordao Challenger Men - 2010,2010,False,"$50,000",hard,men
Campos Do Jordao Challenger Men - 2009,2009,False,"$50,000",hard,men
Curitiba Challenger Men - 2016,2016,False,"$50,000",clay,men
Curitiba Challenger Men - 2010,2010,False,"$35,000",clay,men
Florianopolis Challenger Men - 2012,2012,False,"$35,000",clay,men
Florianopolis Challenger Men - 2009,2009,False,"$35,000",clay,men
ITF Americana Men - 2012,2012,False,"$10,000",hard,men
ITF Belem Men - 2012,2012,False,"$15,000",hard,men
ITF Caxias Do Sul Men - 2012,2012,False,"$10,000",clay,men
ITF Divinopolis Men - 2012,2012,False,"$10,000",clay,men
ITF Fernandopolis Men - 2011,2011,False,"$10,000",clay,men
ITF Fortaleza Men - 2011,2011,False,"$10,000",clay,men
ITF Foz do Iguacu Men - 2012,2012,False,"$10,000",clay,men
ITF Gramado Men - 2012,2012,False,"$10,000",hard,men
ITF Itajai Men - 2012,2012,False,"$15,000",clay,men
ITF Juiz de Fora Men - 2012,2012,False,"$10,000",clay,men
ITF Jundiai Men - 2012,2012,False,"$10,000",clay,men
ITF Lages Men - 2012,2012,False,"$15,000",clay,men
ITF Lins Men - 2012,2012,False,"$15,000",clay,men
ITF Lorena Men - 2012,2012,False,"$10,000",clay,men
ITF Pelotas Men - 2012,2012,False,"$10,000",clay,men
ITF Porto Alegre Men - 2012,2012,False,"$10,000",clay,men
ITF Santa Maria Men - 2012,2012,False,"$10,000",clay,men
ITF Sao Jose do Rio Prieto Men - 2012,2012,False,"$15,000",clay,men
ITF Sao Jose dos Campos Men - 2012,2012,False,"$10,000",clay,men
ITF Sao Paulo 2 Men - 2012,2012,False,"$10,000",clay,men
ITF Sao Paulo Men - 2012,2012,False,"$10,000",clay,men
Itajai Challenger Men - 2014,2014,False,"$40,000",clay,men
Itajai Challenger Men - 2013,2013,False,"$35,000",clay,men
Porto Alegre Challenger Men - 2015,2015,False,"$40,000",clay,men
Porto Alegre Challenger Men - 2014,2014,False,"$40,000",clay,men
Porto Alegre Challenger Men - 2013,2013,False,"$35,000",clay,men
Porto Alegre Challenger Men - 2012,2012,False,"$35,000",clay,men
Recife 2 Challenger Men - 2011,2011,False,"$50,000",hard,men
Recife Challenger Men - 2011,2011,False,"$35,000",hard,men
Rio Quente Challenger Men - 2013,2013,False,"$35,000",hard,men
Rio Quente Challenger Men - 2012,2012,False,"$35,000",hard,men
Rio de Janeiro Challenger Men - 2017,2017,False,"$50,000",clay,men
Rio de Janeiro Challenger Men - 2016,2016,False,"$50,000",clay,men
Rio de Janeiro Challenger Men - 2013,2013,False,"$50,000",clay,men
Rio de Janeiro Challenger Men - 2012,2012,False,"$50,000",clay,men
Salvador Challenger Men - 2010,2010,False,"$35,000",hard,men
Iquique Challenger Men - 2009,2009,False,"$35,000",clay,men
Santiago 2 Challenger Men - 2017,2017,False,"$50,000",clay,men
Santiago 2 Challenger Men - 2016,2016,False,"$50,000",clay,men
Santiago 2 Challenger Men - 2015,2015,False,"$50,000",clay,men
Santiago 2 Challenger Men - 2010,2010,False,"$100,000",clay,men
Santiago 2 Challenger Men - 2009,2009,False,"$100,000",clay,men
Santiago Challenger Men - 2019,2019,False,"$54,160",clay,men
Santiago Challenger Men - 2018,2018,False,"$50,000",clay,men
Santiago Challenger Men - 2017,2017,False,"$50,000",clay,men
Santiago Challenger Men - 2016,2016,False,"$50,000",clay,men
Santiago Challenger Men - 2015,2015,False,"$40,000",clay,men
Santiago Challenger Men - 2014,2014,False,"$400,000",clay,men
Santiago Challenger Men - 2013,2013,False,"$35,000",clay,men
Santiago Challenger Men - 2012,2012,False,"$35,000",clay,men
Santiago Challenger Men - 2011,2011,False,"$35,000",clay,men
Santiago Challenger Men - 2009,2009,False,"$35,000",clay,men
ATP Beijing - 2018,2018,False,"$3,401,860",hard,men
ATP Beijing - 2017,2017,False,"$3,028,080",hard,men
ATP Beijing - 2016,2016,False,"$4,164,780",hard,men
ATP Beijing - 2015,2015,False,"$3,944,715",hard,men
ATP Beijing - 2014,2014,False,"$3,755,065",hard,men
ATP Beijing - 2013,2013,False,"$3,566,050",hard,men
ATP Beijing - 2012,2012,False,"$3,441,500",hard,men
ATP Beijing - 2011,2011,False,"$3,336,500",hard,men
ATP Beijing - 2010,2010,False,"$3,336,500",hard,men
