tournament_id,year,doubles,prize_money,surface,sex
Pune Challenger Men - 2018,2018,False,"$50,000",hard,men
Pune Challenger Men - 2017,2017,False,"$50,000",hard,men
Pune Challenger Men - 2016,2016,False,"$50,000",hard,men
Pune Challenger Men - 2015,2015,False,"$50,000",hard,men
Pune Challenger Men - 2014,2014,False,"$50,000",hard,men
ITF Jakarta 2 Men - 2012,2012,False,"$15,000",hard,men
ITF Jakarta 3 Men - 2012,2012,False,"$15,000",hard,men
ITF Jakarta Men - 2012,2012,False,"$15,000",hard,men
ITF Jakarta Men - 2012,2012,False,"$15,000",hard,men
ITF Jakarta Men - 2012,2012,False,"$15,000",hard,men
ITF Dublin 2 Men Results & Historical Odds - 2012,2012,False,"$15,000",grass,men
ITF Dublin Men - 2011,2011,False,"$15,000",hard,men
ITF Akko Men - 2012,2012,False,"$10,000",hard,men
ITF Akko Men - 2011,2011,False,"$10,000",hard,men
ITF Eilat 2 Men - 2013,2013,False,"$10,000",hard,men
ITF Eilat 2 Men - 2012,2012,False,"$10,000",hard,men
ITF Eilat 3 Men - 2013,2013,False,"$10,000",hard,men
ITF Eilat Men - 2013,2013,False,"$10,000",hard,men
ITF Eilat Men - 2012,2012,False,"$10,000",hard,men
ITF Haifa Men - 2011,2011,False,"$10,000",hard,men
ITF Herzlia 2 Men - 2013,2013,False,"$10,000",hard,men
ITF Herzlia 2 Men - 2012,2012,False,"$10,000",hard,men
ITF Herzlia 3 Men - 2013,2013,False,"$10,000",hard,men
ITF Herzlia 3 Men - 2012,2012,False,"$10,000",hard,men
ITF Herzlia Men - 2013,2013,False,"$10,000",hard,men
ITF Herzlia Men - 2012,2012,False,"$10,000",hard,men
ITF Netanya Men - 2012,2012,False,"$10,000",hard,men
ITF Ramat Hasharon Men - 2013,2013,False,"$10,000",hard,men
ITF Ramat Hasharon Men - 2012,2012,False,"$10,000",hard,men
Jerusalem Challenger Men - 2019,2019,False,"$54,160",hard,men
Raanana Challenger Men - 2016,2016,False,"$125,000",hard,men
Raanana Challenger Men - 2015,2015,False,"$125,000",hard,men
Ramat Hasharon Challenger Men - 2010,2010,False,"$100,000",hard,men
Ramat Hasharon Challenger Men - 2009,2009,False,"$100,000",hard,men
ATP Rome - 2019,2019,False,"€5,207,405",clay,men
ATP Rome - 2018,2018,False,"€4,872,105",clay,men
ATP Rome - 2017,2017,False,"€4,273,775",clay,men
ATP Rome - 2016,2016,False,"€4,300,755",clay,men
ATP Rome - 2015,2015,False,"€3,830,295",clay,men
ATP Rome - 2014,2014,False,"€3,452,415",clay,men
ATP Rome - 2013,2013,False,"€3,204,745",clay,men
ATP Rome - 2012,2012,False,"€2,950,475",clay,men
ATP Rome - 2011,2011,False,"€2,750,000",clay,men
ATP Rome - 2010,2010,False,"€2,750,000",clay,men
ATP Rome - 2009,2009,False,"€2,750,000",clay,men
Alessandria Challenger Men - 2011,2011,False,"€30,000",clay,men
Alessandria Challenger Men - 2010,2010,False,"$30,000",clay,men
Alessandria Challenger Men - 2009,2009,False,"$40,000",clay,men
Andria Challenger Men - 2018,2018,False,"€43,000",hard,men
Andria Challenger Men - 2017,2017,False,"€43,000",hard,men
Andria Challenger Men - 2016,2016,False,"€42,500",hard,men
Andria Challenger Men - 2015,2015,False,"€42,500",hard,men
Andria Challenger Men - 2014,2014,False,"€35,000",hard,men
Andria Challenger Men - 2013,2013,False,"€30,000",hard,men
Barletta Challenger Men - 2019,2019,False,"€46,600",clay,men
Barletta Challenger Men - 2018,2018,False,"€43,000",clay,men
Barletta Challenger Men - 2017,2017,False,"€43,000",clay,men
Barletta Challenger Men - 2016,2016,False,"€42,500",clay,men
Barletta Challenger Men - 2012,2012,False,"€30,000",clay,men
Barletta Challenger Men - 2011,2011,False,"€42,500",clay,men
Barletta Challenger Men - 2010,2010,False,"$30,000",clay,men
Barletta Challenger Men - 2009,2009,False,"$60,000",clay,men
tournament_id,year,doubles,prize_money,surface,sex
Bergamo Challenger Men - 2019,2019,False,"€46,600",hard,men
Bergamo Challenger Men - 2018,2018,False,"€64,000",hard,men
Bergamo Challenger Men - 2017,2017,False,"€64,000",hard,men
Bergamo Challenger Men - 2016,2016,False,"€42,500",hard,men
Bergamo Challenger Men - 2015,2015,False,"€42,500",hard,men
Bergamo Challenger Men - 2014,2014,False,"€42,500",hard,men
Bergamo Challenger Men - 2013,2013,False,"€42,500",hard,men
Bergamo Challenger Men - 2012,2012,False,"€42,500",hard,men
Bergamo Challenger Men - 2011,2011,False,"€42,500",hard,men
Bergamo Challenger Men - 2010,2010,False,"€42,500",hard,men
Bergamo Challenger Men - 2009,2009,False,"$135,000",hard,men
