tournament_id,year,doubles,prize_money,surface,sex
ATP Wimbledon - 2019,2019,False,"£14,245,000",grass,men
ATP Wimbledon - 2018,2018,False,"£13,020,000",grass,men
ATP Wimbledon - 2017,2017,False,"£13,020,000",grass,men
ATP Wimbledon - 2016,2016,False,"£11,576,000",grass,men
ATP Wimbledon - 2015,2015,False,"£11,280,000",grass,men
ATP Wimbledon - 2014,2014,False,"£10,248,000",grass,men
ATP Wimbledon - 2013,2013,False,"£8,588,000",grass,men
ATP Wimbledon - 2012,2012,False,"£6,178,000",grass,men
ATP Wimbledon - 2011,2011,False,"£13,725,000",grass,men
ATP Wimbledon - 2010,2010,False,"£13,725,000",grass,men
ATP Wimbledon - 2009,2009,False,"£5,616,600",grass,men
Bath Challenger Men - 2012,2012,False,"€42,500",hard,men
Bath Challenger Men - 2011,2011,False,"€42,500",hard,men
Boys Wimbledon - 2019,2019,False,$0,grass,men
Boys Wimbledon - 2018,2018,False,$0,grass,men
Boys Wimbledon - 2017,2017,False,$0,grass,men
Boys Wimbledon - 2016,2016,False,$0,grass,men
Exhibition Boodles Challenge Men - 2019,2019,False,$0,grass,men
Exhibition Boodles Challenge Men - 2018,2018,False,$0,grass,men
Exhibition Boodles Challenge Men - 2017,2017,False,$0,grass,men
Exhibition Boodles Challenge Men - 2016,2016,False,$0,grass,men
Exhibition Boodles Challenge Men - 2015,2015,False,$0,grass,men
Exhibition Boodles Challenge Men - 2014,2014,False,$0,grass,men
Exhibition Boodles Challenge Men - 2013,2013,False,$0,grass,men
Exhibition Glasgow Men - 2017,2017,False,$0,hard,men
Exhibition Hurlingham Men - 2019,2019,False,$0,grass,men
Exhibition Hurlingham Men - 2018,2018,False,$0,grass,men
Exhibition Hurlingham Men - 2017,2017,False,$0,grass,men
Exhibition Hurlingham Men - 2016,2016,False,$0,grass,men
Exhibition Hurlingham Men - 2015,2015,False,$0,grass,men
Exhibition Hurlingham Men - 2014,2014,False,$0,grass,men
Exhibition Hurlingham Men - 2013,2013,False,$0,grass,men
tournament_id,year,doubles,prize_money,surface,sex
Exhibition Hurlingham Men - 2019,2019,False,$0,grass,men
Exhibition Hurlingham Men - 2018,2018,False,$0,grass,men
Exhibition Hurlingham Men - 2017,2017,False,$0,grass,men
Exhibition Hurlingham Men - 2016,2016,False,$0,grass,men
Exhibition Hurlingham Men - 2015,2015,False,$0,grass,men
Exhibition Hurlingham Men - 2014,2014,False,$0,grass,men
Exhibition Hurlingham Men - 2013,2013,False,$0,grass,men
Exhibition Hurlingham Men - 2019,2019,False,$0,grass,men
Exhibition Hurlingham Men - 2018,2018,False,$0,grass,men
Exhibition Hurlingham Men - 2017,2017,False,$0,grass,men
Exhibition Hurlingham Men - 2016,2016,False,$0,grass,men
Exhibition Hurlingham Men - 2015,2015,False,$0,grass,men
Exhibition Hurlingham Men - 2014,2014,False,$0,grass,men
Exhibition Hurlingham Men - 2013,2013,False,$0,grass,men
Exhibition Hurlingham Men - 2019,2019,False,$0,grass,men
Exhibition Hurlingham Men - 2018,2018,False,$0,grass,men
Exhibition Hurlingham Men - 2017,2017,False,$0,grass,men
Exhibition Hurlingham Men - 2016,2016,False,$0,grass,men
Exhibition Hurlingham Men - 2015,2015,False,$0,grass,men
Exhibition Hurlingham Men - 2014,2014,False,$0,grass,men
Exhibition Hurlingham Men - 2013,2013,False,$0,grass,men
Exhibition Hurlingham Men - 2019,2019,False,$0,grass,men
Exhibition Hurlingham Men - 2018,2018,False,$0,grass,men
Exhibition Hurlingham Men - 2017,2017,False,$0,grass,men
Exhibition Hurlingham Men - 2016,2016,False,$0,grass,men
Exhibition Hurlingham Men - 2015,2015,False,$0,grass,men
Exhibition Hurlingham Men - 2014,2014,False,$0,grass,men
Exhibition Hurlingham Men - 2013,2013,False,$0,grass,men
Exhibition Hurlingham Men - 2019,2019,False,$0,grass,men
Exhibition Hurlingham Men - 2018,2018,False,$0,grass,men
Exhibition Hurlingham Men - 2017,2017,False,$0,grass,men
Exhibition Hurlingham Men - 2016,2016,False,$0,grass,men
Exhibition Hurlingham Men - 2015,2015,False,$0,grass,men
Exhibition Hurlingham Men - 2014,2014,False,$0,grass,men
Exhibition Hurlingham Men - 2013,2013,False,$0,grass,men
Exhibition Hurlingham Men - 2019,2019,False,$0,grass,men
Exhibition Hurlingham Men - 2018,2018,False,$0,grass,men
Exhibition Hurlingham Men - 2017,2017,False,$0,grass,men
Exhibition Hurlingham Men - 2016,2016,False,$0,grass,men
Exhibition Hurlingham Men - 2015,2015,False,$0,grass,men
Exhibition Hurlingham Men - 2014,2014,False,$0,grass,men
Exhibition Hurlingham Men - 2013,2013,False,$0,grass,men
Exhibition Hurlingham Men - 2019,2019,False,$0,grass,men
Exhibition Hurlingham Men - 2018,2018,False,$0,grass,men
Exhibition Hurlingham Men - 2017,2017,False,$0,grass,men
Exhibition Hurlingham Men - 2016,2016,False,$0,grass,men
Exhibition Hurlingham Men - 2015,2015,False,$0,grass,men
Exhibition Hurlingham Men - 2014,2014,False,$0,grass,men
Exhibition Hurlingham Men - 2013,2013,False,$0,grass,men
Exhibition London BlackRock Men Results & Historical Odds - 2008,2008,False,$0,grass,men
Girls Wimbledon - 2019,2019,False,$0,grass,men
Girls Wimbledon - 2018,2018,False,$0,grass,men
Girls Wimbledon - 2017,2017,False,$0,grass,men
